date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:07	48/48	---MCZ	200	added ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://kokonailspamansfield.com/robots.txt		(from )
17:00:07	163550/163550	---MCZ	200	added ('OK')	text/html	etag:131532301c4cd3f670469869d666c02d	https://kokonailspamansfield.com/	D:/ONE%20DRIVE/OneDrive/1.%20[Kho%20Du%20Lieu%20Ca%20Nhan]/2.%202025/28.%20Neston%20Nails/Neston%20Nails/kokonailspamansfield.com/index.html	(from )
17:00:08	447/447	---MCZ	200	added ('OK')	application/manifest+json	etag:863bf6fba788284bf24fb8a893bf02ce	https://kokonailspamansfield.com/manifest.webmanifest	D:/ONE%20DRIVE/OneDrive/1.%20[Kho%20Du%20Lieu%20Ca%20Nhan]/2.%202025/28.%20Neston%20Nails/Neston%20Nails/kokonailspamansfield.com/manifest.webmanifest	(from https://kokonailspamansfield.com/)
17:00:09	32958/32958	---MCZ	200	added ('OK')	application/javascript	etag:ba0c339b449629d1849f1b6bb5554d08	https://kokonailspamansfield.com/sw.js	D:/ONE%20DRIVE/OneDrive/1.%20[Kho%20Du%20Lieu%20Ca%20Nhan]/2.%202025/28.%20Neston%20Nails/Neston%20Nails/kokonailspamansfield.com/sw.js	(from https://kokonailspamansfield.com/)
17:00:09	276867/276867	---M--	200	added ('OK')	image/jpeg	etag:2130284119	https://img1.wsimg.com/isteam/ip/5a10bdda-23cb-4145-8425-a5e88cc4f963/golden%20(Double%20Sided%20Posters%20(Portrait)).png	D:/ONE%20DRIVE/OneDrive/1.%20[Kho%20Du%20Lieu%20Ca%20Nhan]/2.%202025/28.%20Neston%20Nails/Neston%20Nails/img1.wsimg.com/isteam/ip/5a10bdda-23cb-4145-8425-a5e88cc4f963/golden%20(Double%20Sided%20Posters%20(Portrait)).jpg	(from https://kokonailspamansfield.com/)
17:00:09	110645/110645	---MCZ	200	added ('OK')	text/html	etag:3e27ba0f286d0fc87fb8ac15b4283971	https://kokonailspamansfield.com/services	D:/ONE%20DRIVE/OneDrive/1.%20[Kho%20Du%20Lieu%20Ca%20Nhan]/2.%202025/28.%20Neston%20Nails/Neston%20Nails/kokonailspamansfield.com/services.html	(from https://kokonailspamansfield.com/)
17:00:09	90959/90959	---MCZ	200	added ('OK')	text/html	etag:f89d53a40b576e20d205099531ce8753	https://kokonailspamansfield.com/gallery	D:/ONE%20DRIVE/OneDrive/1.%20[Kho%20Du%20Lieu%20Ca%20Nhan]/2.%202025/28.%20Neston%20Nails/Neston%20Nails/kokonailspamansfield.com/gallery.html	(from https://kokonailspamansfield.com/)
17:00:09	101068/101068	---MCZ	200	added ('OK')	text/html	etag:74e21b642787e3cf665f7af52a19faa7	https://kokonailspamansfield.com/contact-us	D:/ONE%20DRIVE/OneDrive/1.%20[Kho%20Du%20Lieu%20Ca%20Nhan]/2.%202025/28.%20Neston%20Nails/Neston%20Nails/kokonailspamansfield.com/contact-us.html	(from https://kokonailspamansfield.com/)
17:00:10	96731/96731	---MCZ	200	added ('OK')	text/html	etag:dee3cd36b8b339d13d8650193a3b4ff3	https://kokonailspamansfield.com/hiring	D:/ONE%20DRIVE/OneDrive/1.%20[Kho%20Du%20Lieu%20Ca%20Nhan]/2.%202025/28.%20Neston%20Nails/Neston%20Nails/kokonailspamansfield.com/hiring.html	(from https://kokonailspamansfield.com/)
17:00:10	89045/89045	---MCZ	200	added ('OK')	text/html	etag:565d1d3079283f0467d6a2ac7200a70b	https://kokonailspamansfield.com/gift-card	D:/ONE%20DRIVE/OneDrive/1.%20[Kho%20Du%20Lieu%20Ca%20Nhan]/2.%202025/28.%20Neston%20Nails/Neston%20Nails/kokonailspamansfield.com/gift-card.html	(from https://kokonailspamansfield.com/)
